date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000408,23.28,23.71,23.8,22.98,85226,224186374.57,3.54,0.0242,0.56,0.0054
2023-01-04,000408,23.58,23.08,23.75,22.99,66435,173342247.77,3.21,-0.026600000000000002,-0.63,0.0042
2023-01-05,000408,23.1,23.35,23.8,22.94,84941,222724950.31,3.73,0.011699999999999999,0.27,0.0054
2023-01-06,000408,23.28,23.68,23.92,23.23,86593,229689888.48,2.96,0.0141,0.33,0.0055000000000000005
2023-01-09,000408,23.84,23.95,24.22,23.72,74514,199596907.14,2.11,0.011399999999999999,0.27,0.004699999999999999
2023-01-10,000408,23.84,23.95,24.12,23.61,62744,167664022.34,2.13,0.0,0.0,0.004
2023-01-11,000408,23.95,23.75,24.2,23.74,52263,139746452.71,1.92,-0.0084,-0.2,0.0033
2023-01-12,000408,23.98,23.78,24.44,23.68,74317,199041385.81,3.2,0.0013,0.03,0.004699999999999999
2023-01-13,000408,23.78,24.07,24.15,23.64,73108,195792418.38,2.14,0.012199999999999999,0.29,0.0046
2023-01-16,000408,23.99,24.14,24.54,23.83,80945,218602377.49,2.95,0.0029,0.07,0.0051
2023-01-17,000408,24.29,24.31,24.54,24.12,70805,192262575.91,1.74,0.006999999999999999,0.17,0.0045000000000000005
2023-01-18,000408,24.18,24.31,24.55,24.09,68976,187456979.59,1.89,0.0,0.0,0.0044
2023-01-19,000408,24.33,24.35,24.43,24.09,76356,206761007.49,1.4,0.0016,0.04,0.0048
2023-01-20,000408,24.35,25.18,25.3,24.33,124067,343697550.08,3.98,0.0341,0.83,0.0079
2023-01-30,000408,25.57,25.27,26.08,25.11,164855,467194349.89,3.85,0.0036,0.09,0.0104
2023-01-31,000408,25.25,25.04,25.29,24.86,98165,273487400.61,1.7,-0.0091,-0.23,0.0062
2023-02-01,000408,25.08,25.3,25.36,25.06,88502,248139583.24,1.2,0.0104,0.26,0.005600000000000001
2023-02-02,000408,25.37,25.43,25.55,25.2,96970,273393903.97,1.38,0.0051,0.13,0.0060999999999999995
2023-02-03,000408,25.36,25.18,25.42,24.81,75475,210649555.57,2.4,-0.0098,-0.25,0.0048
2023-02-06,000408,25.1,25.16,25.17,24.88,66819,186087165.43,1.15,-0.0008,-0.02,0.0042
2023-02-07,000408,25.08,25.44,25.44,25.08,80085,225063494.87,1.43,0.0111,0.28,0.0051
2023-02-08,000408,25.56,25.78,25.98,25.43,128404,367193986.15,2.16,0.0134,0.34,0.008100000000000001
2023-02-09,000408,25.56,25.82,25.83,25.34,109681,311218322.82,1.9,0.0016,0.04,0.0069
2023-02-10,000408,25.7,25.29,25.75,25.22,104940,296781516.6,2.05,-0.020499999999999997,-0.53,0.0066
2023-02-13,000408,25.3,25.37,25.56,25.19,76888,216353442.35,1.46,0.0032,0.08,0.0049
